"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"1. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" 1 1 - - -
"1. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 1 - 1 - -
"1. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" - - - - -
"1. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" 1 - 1 - -
"1. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 2 1 - - -
"1. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 1 - - - -
"1. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 1 1 - - -
"1. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" - 1 - - -
"1. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" - 1 - - -
"1. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" - - - - -
"1. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" - - 1 - -
"1. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" - - - - -
"1. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" - - 1 - -
"1. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" - - - - -
"1. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" - - - - -
"1. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" - - - - -
"1. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - - -
"1. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 11468 11310 11321 10785 11063
"1. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 11382 11217 11226 10695 10978
"1. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 86 93 95 90 85
"1. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 10185 9860 9815 9102 9262
"1. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" 10184 9860 9815 9101 9260
"1. razred" "Moški" "6 let ali manj" "ponavljavci" 1 - - 1 2
"1. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" 1233 1412 1440 1653 1764
"1. razred" "Moški" "7 let" "prviè vpisani v razred" 1183 1345 1374 1585 1710
"1. razred" "Moški" "7 let" "ponavljavci" 50 67 66 68 54
"1. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" 39 31 60 28 30
"1. razred" "Moški" "8 let" "prviè vpisani v razred" 11 10 34 8 4
"1. razred" "Moški" "8 let" "ponavljavci" 28 21 26 20 26
"1. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" 7 4 4 2 4
"1. razred" "Moški" "9 let" "prviè vpisani v razred" 3 1 3 1 1
"1. razred" "Moški" "9 let" "ponavljavci" 4 3 1 1 3
"1. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 2 1 - - 3
"1. razred" "Moški" "10 let" "prviè vpisani v razred" 1 - - - 3
"1. razred" "Moški" "10 let" "ponavljavci" 1 1 - - -
"1. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 1 - 1 - -
"1. razred" "Moški" "11 let" "prviè vpisani v razred" - - - - -
"1. razred" "Moški" "11 let" "ponavljavci" 1 - 1 - -
"1. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 1 1 - - -
"1. razred" "Moški" "12 let" "prviè vpisani v razred" - - - - -
"1. razred" "Moški" "12 let" "ponavljavci" 1 1 - - -
"1. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" - 1 - - -
"1. razred" "Moški" "13 let" "prviè vpisani v razred" - 1 - - -
"1. razred" "Moški" "13 let" "ponavljavci" - - - - -
"1. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" - - 1 - -
"1. razred" "Moški" "14 let" "prviè vpisani v razred" - - - - -
"1. razred" "Moški" "14 let" "ponavljavci" - - 1 - -
"1. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Moški" "15 let" "prviè vpisani v razred" - - - - -
"1. razred" "Moški" "15 let" "ponavljavci" - - - - -
"1. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" - - - - -
"1. razred" "Moški" "16 let ali veè" "ponavljavci" - - - - -
"1. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 10808 10613 10624 10259 10437
"1. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 10758 10547 10571 10187 10377
"1. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 50 66 53 72 60
"1. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 10096 9800 9717 9294 9400
"1. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" 10094 9799 9717 9293 9398
"1. razred" "Ženske" "6 let ali manj" "ponavljavci" 2 1 - 1 2
"1. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" 687 791 849 943 1015
"1. razred" "Ženske" "7 let" "prviè vpisani v razred" 650 742 817 891 976
"1. razred" "Ženske" "7 let" "ponavljavci" 37 49 32 52 39
"1. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" 23 21 53 18 21
"1. razred" "Ženske" "8 let" "prviè vpisani v razred" 13 5 33 3 2
"1. razred" "Ženske" "8 let" "ponavljavci" 10 16 20 15 19
"1. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 1 1 5 4 -
"1. razred" "Ženske" "9 let" "prviè vpisani v razred" - 1 4 - -
"1. razred" "Ženske" "9 let" "ponavljavci" 1 - 1 4 -
"1. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" - - - - 1
"1. razred" "Ženske" "10 let" "prviè vpisani v razred" - - - - 1
"1. razred" "Ženske" "10 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Ženske" "11 let" "prviè vpisani v razred" - - - - -
"1. razred" "Ženske" "11 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 1 - - - -
"1. razred" "Ženske" "12 let" "prviè vpisani v razred" 1 - - - -
"1. razred" "Ženske" "12 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Ženske" "13 let" "prviè vpisani v razred" - - - - -
"1. razred" "Ženske" "13 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Ženske" "14 let" "prviè vpisani v razred" - - - - -
"1. razred" "Ženske" "14 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Ženske" "15 let" "prviè vpisani v razred" - - - - -
"1. razred" "Ženske" "15 let" "ponavljavci" - - - - -
"1. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"1. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - - -
"1. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"2. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 21662 22248 21962 22080 21011
"2. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 21539 22090 21806 21848 20871
