"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"8. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 14 6 10 8 9
"8. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" 9 5 9 7 8
"8. razred" "Moški" "16 let ali veè" "ponavljavci" 5 1 1 1 1
"8. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8527 8878 8941 9449 9897
"8. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 8459 8807 8856 9360 9868
"8. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 68 71 85 89 29
"8. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"8. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"8. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Ženske" "7 let" "prviè vpisani v razred" - - - - -
"8. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Ženske" "8 let" "prviè vpisani v razred" - - - - -
"8. razred" "Ženske" "8 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Ženske" "9 let" "prviè vpisani v razred" - - - - -
"8. razred" "Ženske" "9 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Ženske" "10 let" "prviè vpisani v razred" - - - - -
"8. razred" "Ženske" "10 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 1 - - - -
"8. razred" "Ženske" "11 let" "prviè vpisani v razred" 1 - - - -
"8. razred" "Ženske" "11 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 39 42 35 40 42
"8. razred" "Ženske" "12 let" "prviè vpisani v razred" 39 42 35 40 42
"8. razred" "Ženske" "12 let" "ponavljavci" - - - - -
"8. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 7920 8277 8226 8676 9141
"8. razred" "Ženske" "13 let" "prviè vpisani v razred" 7920 8277 8223 8658 9140
"8. razred" "Ženske" "13 let" "ponavljavci" - - 3 18 1
"8. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 512 500 634 678 644
"8. razred" "Ženske" "14 let" "prviè vpisani v razred" 455 436 566 615 625
"8. razred" "Ženske" "14 let" "ponavljavci" 57 64 68 63 19
"8. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 47 52 42 51 60
"8. razred" "Ženske" "15 let" "prviè vpisani v razred" 38 45 29 44 54
"8. razred" "Ženske" "15 let" "ponavljavci" 9 7 13 7 6
"8. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 8 7 4 4 10
"8. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" 6 7 3 3 7
"8. razred" "Ženske" "16 let ali veè" "ponavljavci" 2 - 1 1 3
"9. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 17475 17125 17721 18084 19181
"9. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 17445 17094 17700 18010 19164
"9. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 30 31 21 74 17
"9. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" - - - - -
"9. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" - - - - -
"9. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 46 66 60 70 70
"9. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 46 66 60 69 70
"9. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" - - - 1 -
"9. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 16086 15682 16241 16383 17322
"9. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 16086 15681 16241 16339 17320
"9. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" - 1 - 44 2
"9. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 1239 1254 1312 1522 1651
"9. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 1220 1233 1296 1498 1639
"9. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 19 21 16 24 12
"9. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 104 123 108 109 138
"9. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" 93 114 103 104 135
"9. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" 11 9 5 5 3
"9. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8959 8717 8945 9245 9765
"9. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 8943 8698 8936 9205 9758
"9. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 16 19 9 40 7
"9. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"9. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "7 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "7 let" "ponavljavci" - - - - -
"9. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "8 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "8 let" "ponavljavci" - - - - -
"9. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "9 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "9 let" "ponavljavci" - - - - -
"9. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "10 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "10 let" "ponavljavci" - - - - -
"9. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "11 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "11 let" "ponavljavci" - - - - -
"9. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Moški" "12 let" "prviè vpisani v razred" - - - - -
"9. razred" "Moški" "12 let" "ponavljavci" - - - - -
"9. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 25 24 17 34 32
"9. razred" "Moški" "13 let" "prviè vpisani v razred" 25 24 17 34 32
"9. razred" "Moški" "13 let" "ponavljavci" - - - - -
"9. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 8066 7815 8012 8206 8633
"9. razred" "Moški" "14 let" "prviè vpisani v razred" 8066 7815 8012 8186 8633
"9. razred" "Moški" "14 let" "ponavljavci" - - - 20 -
"9. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 812 793 851 930 1014
"9. razred" "Moški" "15 let" "prviè vpisani v razred" 800 780 845 913 1008
"9. razred" "Moški" "15 let" "ponavljavci" 12 13 6 17 6
"9. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 56 85 65 75 86
"9. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" 52 79 62 72 85
"9. razred" "Moški" "16 let ali veè" "ponavljavci" 4 6 3 3 1
"9. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8516 8408 8776 8839 9416
"9. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 8502 8396 8764 8805 9406
"9. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 14 12 12 34 10
"9. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"9. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "7 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "8 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "8 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "9 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "9 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "10 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "10 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "11 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "11 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" - - - - -
"9. razred" "Ženske" "12 let" "prviè vpisani v razred" - - - - -
"9. razred" "Ženske" "12 let" "ponavljavci" - - - - -
"9. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 21 42 43 36 38
"9. razred" "Ženske" "13 let" "prviè vpisani v razred" 21 42 43 35 38
"9. razred" "Ženske" "13 let" "ponavljavci" - - - 1 -
"9. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 8020 7867 8229 8177 8689
"9. razred" "Ženske" "14 let" "prviè vpisani v razred" 8020 7866 8229 8153 8687
"9. razred" "Ženske" "14 let" "ponavljavci" - 1 - 24 2
"9. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 427 461 461 592 637
"9. razred" "Ženske" "15 let" "prviè vpisani v razred" 420 453 451 585 631
"9. razred" "Ženske" "15 let" "ponavljavci" 7 8 10 7 6
"9. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 48 38 43 34 52
"9. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" 41 35 41 32 50
"9. razred" "Ženske" "16 let ali veè" "ponavljavci" 7 3 2 2 2
